year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1967,7,2,1,1,40,6.1261,5.8486
1967,7,2,1,2,62,5.1109,4.9235
1967,7,2,1,3,16,9.2073,9.1415
1967,7,2,2,1,45,6.9276,6.7719
1967,7,2,2,2,102,6.8410,6.7956
1967,7,2,2,3,59,4.0125,3.9143
1967,7,2,3,1,33,1.1990,1.1581
1967,7,2,3,2,48,4.2050,4.1931
1967,7,2,3,3,73,3.9378,3.9195
1967,8,1,1,1,99,1.2100,0.7066
1967,8,1,1,2,40,-0.1089,-0.3891
1967,8,1,1,3,27,1.2052,0.6709
1967,8,1,2,1,63,0.7692,0.3546
1967,8,1,2,2,52,-0.8168,-1.3207
1967,8,1,2,3,48,2.3544,2.1059
1967,8,1,3,1,57,0.0047,-0.2534
1967,8,1,3,2,47,-3.8698,-4.1214
1967,8,1,3,3,66,-1.3250,-1.4597
1967,8,2,1,1,28,1.4226,0.8020
1967,8,2,1,2,56,-1.6949,-2.4733
1967,8,2,1,3,29,-0.4602,-1.2724
1967,8,2,2,1,36,3.0685,2.4875
1967,8,2,2,2,98,-1.3264,-1.7932
1967,8,2,2,3,61,-0.5179,-0.8407
1967,8,2,3,1,26,-2.0045,-2.3464
1967,8,2,3,2,56,-1.3035,-1.6111
1967,8,2,3,3,59,-0.5352,-0.9026
1967,9,1,1,1,100,5.1390,4.9051
1967,9,1,1,2,37,6.1567,5.8204
1967,9,1,1,3,31,2.8881,2.6633
1967,9,1,2,1,68,4.1282,3.8472
1967,9,1,2,2,48,6.4080,6.3218
1967,9,1,2,3,49,3.3004,3.0983
1967,9,1,3,1,57,6.0135,5.7873
1967,9,1,3,2,49,2.7228,2.4379
1967,9,1,3,3,65,7.0610,6.9504
1967,9,2,1,1,24,1.4713,1.3577
1967,9,2,1,2,56,4.0830,3.9573
1967,9,2,1,3,33,2.6992,2.6554
1967,9,2,2,1,35,4.7366,4.5798
1967,9,2,2,2,104,2.2208,2.0361
1967,9,2,2,3,57,4.4282,4.2692
1967,9,2,3,1,24,0.6633,0.5288
1967,9,2,3,2,51,2.1524,2.0490
1967,9,2,3,3,66,5.8562,5.8058
1967,10,1,1,1,100,-4.3687,-4.5648
1967,10,1,1,2,36,-6.7251,-6.8350
1967,10,1,1,3,33,-2.0666,-2.2236
1967,10,1,2,1,65,-2.5208,-2.6644
1967,10,1,2,2,50,-2.5942,-2.6971
1967,10,1,2,3,54,0.9484,0.7029
1967,10,1,3,1,56,-3.5625,-3.5979
1967,10,1,3,2,52,-2.8421,-2.9703
1967,10,1,3,3,64,-4.0046,-4.0709
1967,10,2,1,1,24,-8.5817,-8.7714
1967,10,2,1,2,57,-3.6149,-3.8388
1967,10,2,1,3,31,-5.4622,-5.6340
1967,10,2,2,1,36,-3.8405,-3.9398
1967,10,2,2,2,103,-4.0239,-4.1851
1967,10,2,2,3,58,-2.7173,-2.8235
1967,10,2,3,1,24,-9.2779,-9.4211
1967,10,2,3,2,54,2.6769,2.6295
1967,10,2,3,3,63,0.3306,0.3065
1967,11,1,1,1,90,-1.8890,-2.4734
1967,11,1,1,2,47,-0.7488,-1.0704
1967,11,1,1,3,37,0.2204,-0.0204
1967,11,1,2,1,64,-0.8137,-1.2026
1967,11,1,2,2,44,-0.0155,-0.5796
1967,11,1,2,3,61,2.0592,1.8581
1967,11,1,3,1,50,3.9492,3.7000
1967,11,1,3,2,49,2.8960,2.6339
1967,11,1,3,3,74,1.0582,0.8800
1967,11,2,1,1,37,-0.7225,-1.3848
1967,11,2,1,2,59,0.1488,-0.6411
1967,11,2,1,3,15,-1.1505,-2.7862
1967,11,2,2,1,40,-0.5641,-1.0667
1967,11,2,2,2,97,0.4649,-0.0316
1967,11,2,2,3,58,2.3823,2.0039
1967,11,2,3,1,16,2.3204,1.9626
1967,11,2,3,2,51,0.1896,-0.3250
1967,11,2,3,3,73,2.2841,2.0817
1967,12,1,1,1,90,7.7908,7.6027
1967,12,1,1,2,43,5.2188,4.7951
1967,12,1,1,3,42,9.6576,9.3411
1967,12,1,2,1,60,4.0619,3.7051
1967,12,1,2,2,48,4.9014,4.7340
1967,12,1,2,3,59,8.5611,8.3122
1967,12,1,3,1,50,8.6987,8.3799
1967,12,1,3,2,49,6.9406,6.7908
1967,12,1,3,3,74,8.6223,8.4260
1967,12,2,1,1,39,3.5331,3.3438
1967,12,2,1,2,57,3.5795,3.4840
1967,12,2,1,3,15,1.7820,1.7686
1967,12,2,2,1,40,3.8661,3.6372
1967,12,2,2,2,95,3.1321,2.9815
1967,12,2,2,3,59,1.7970,1.6223
1967,12,2,3,1,18,0.3188,0.1155
1967,12,2,3,2,50,2.7135,2.6358
1967,12,2,3,3,73,2.6508,2.5911
1968,1,1,1,1,90,2.2718,2.0475
1968,1,1,1,2,46,2.7011,2.5542
1968,1,1,1,3,39,4.9299,4.8052
1968,1,1,2,1,59,2.1621,2.0862
1968,1,1,2,2,50,3.2180,2.9453
1968,1,1,2,3,56,-1.5058,-1.6357
1968,1,1,3,1,49,2.7433,2.6747
1968,1,1,3,2,47,-3.6705,-3.7734
1968,1,1,3,3,78,-1.3147,-1.4019
1968,1,2,1,1,41,0.4064,-0.1075
1968,1,2,1,2,55,-1.6828,-2.0152
1968,1,2,1,3,15,-2.5718,-2.5933
1968,1,2,2,1,39,-2.2735,-2.4288
1968,1,2,2,2,94,-3.1661,-3.3553
1968,1,2,2,3,61,-7.2906,-7.3734
1968,1,2,3,1,18,-4.3462,-4.3820
1968,1,2,3,2,50,-7.4848,-7.7867
1968,1,2,3,3,73,-7.9572,-7.9854
1968,2,1,1,1,81,-3.9248,-4.4142
1968,2,1,1,2,49,-3.2682,-3.6969
1968,2,1,1,3,44,-1.8096,-1.8900
1968,2,1,2,1,50,-2.1623,-2.5663
1968,2,1,2,2,55,-4.8359,-5.2612
1968,2,1,2,3,56,-3.3802,-3.6252
1968,2,1,3,1,56,-4.7008,-4.9287
1968,2,1,3,2,49,-6.6180,-6.8242
1968,2,1,3,3,68,-8.1653,-8.2818
1968,2,2,1,1,43,-2.4846,-3.2988
1968,2,2,1,2,51,-1.1463,-1.7671
1968,2,2,1,3,17,-1.1857,-1.7802
1968,2,2,2,1,44,-3.4386,-4.0429
1968,2,2,2,2,89,-2.0134,-2.4772
1968,2,2,2,3,60,-3.5934,-3.9090
1968,2,2,3,1,22,-2.8333,-3.3530
1968,2,2,3,2,47,-4.1730,-4.4688
1968,2,2,3,3,67,-3.5778,-3.7970
1968,3,1,1,1,80,-1.7596,-2.0025
1968,3,1,1,2,55,-2.8995,-3.1707
1968,3,1,1,3,41,-0.1512,-0.4193
1968,3,1,2,1,50,-1.2616,-1.5236
1968,3,1,2,2,59,-1.9170,-2.0836
1968,3,1,2,3,56,0.2878,0.0965
1968,3,1,3,1,58,-4.3992,-4.5102
1968,3,1,3,2,46,-2.4886,-2.8243
1968,3,1,3,3,68,-1.0559,-1.2437
1968,3,2,1,1,41,-1.8759,-1.9647
1968,3,2,1,2,53,-0.7428,-0.8747
1968,3,2,1,3,17,-1.7003,-1.7842
1968,3,2,2,1,42,0.3015,0.1043
1968,3,2,2,2,88,0.0721,-0.0701
1968,3,2,2,3,63,2.7412,2.6030
1968,3,2,3,1,27,3.5962,3.4727
1968,3,2,3,2,44,-2.4742,-2.5422
1968,3,2,3,3,65,4.5393,4.4667
1968,4,1,1,1,79,11.3078,11.0900
1968,4,1,1,2,56,13.0905,12.9398
1968,4,1,1,3,43,18.4131,18.2127
1968,4,1,2,1,49,11.7563,11.6411
1968,4,1,2,2,59,9.1064,8.8154
1968,4,1,2,3,56,19.0442,18.8841
1968,4,1,3,1,58,12.1823,12.0636
1968,4,1,3,2,50,14.0056,13.9575
1968,4,1,3,3,65,19.8790,19.7626
1968,4,2,1,1,42,7.7901,7.5856
1968,4,2,1,2,53,5.7528,5.4247
1968,4,2,1,3,16,6.8182,6.4701
1968,4,2,2,1,42,9.4437,9.2687
1968,4,2,2,2,89,7.9539,7.7695
1968,4,2,2,3,62,10.1660,10.0449
1968,4,2,3,1,26,11.7739,11.7618
1968,4,2,3,2,43,8.8456,8.8131
1968,4,2,3,3,68,11.8784,11.8496
1968,5,1,1,1,85,6.2068,5.8103
1968,5,1,1,2,59,7.5754,7.1810
1968,5,1,1,3,53,9.1264,8.9116
1968,5,1,2,1,55,5.7157,5.2552
1968,5,1,2,2,65,6.5579,6.2184
1968,5,1,2,3,52,12.0096,11.8072
1968,5,1,3,1,56,8.6371,8.3095
1968,5,1,3,2,49,7.5095,7.2733
1968,5,1,3,3,77,10.9392,10.8397
1968,5,2,1,1,39,1.6949,1.1110
1968,5,2,1,2,63,-0.1342,-0.7503
1968,5,2,1,3,15,-0.1428,-1.4142
1968,5,2,2,1,42,-0.1510,-0.7397
1968,5,2,2,2,92,0.0369,-0.3902
1968,5,2,2,3,71,1.9498,1.6768
1968,5,2,3,1,37,4.7271,4.2803
1968,5,2,3,2,50,1.5742,0.9973
1968,5,2,3,3,61,4.7555,4.5410
1968,6,1,1,1,87,1.0658,0.8577
1968,6,1,1,2,62,2.2501,2.0679
1968,6,1,1,3,46,2.1717,1.9199
1968,6,1,2,1,58,1.6962,1.5055
1968,6,1,2,2,56,-0.2291,-0.3698
1968,6,1,2,3,56,0.5182,0.3765
1968,6,1,3,1,59,-2.2157,-2.3460
1968,6,1,3,2,52,-0.0888,-0.3022
1968,6,1,3,3,72,-1.0184,-1.1729
1968,6,2,1,1,37,1.5176,1.3844
1968,6,2,1,2,64,2.3400,2.1941
1968,6,2,1,3,15,1.0362,1.0149
1968,6,2,2,1,45,2.6059,2.4514
1968,6,2,2,2,91,2.5362,2.3289
1968,6,2,2,3,69,-0.6462,-0.8316
1968,6,2,3,1,35,-0.3374,-0.4200
1968,6,2,3,2,54,-0.6738,-0.7589
1968,6,2,3,3,59,-0.0803,-0.1211
1968,7,1,1,1,156,-0.8055,-0.8730
1968,7,1,1,2,79,-2.1400,-2.2628
1968,7,1,1,3,61,-1.8693,-2.1419
1968,7,1,2,1,83,-3.3836,-3.4968
1968,7,1,2,2,67,-1.8261,-2.0895
1968,7,1,2,3,61,-3.7328,-3.8696
1968,7,1,3,1,60,-3.7690,-3.8089
1968,7,1,3,2,66,-4.7341,-4.8501
1968,7,1,3,3,106,-7.0538,-7.1166
1968,7,2,1,1,39,-0.9898,-1.2365
1968,7,2,1,2,46,-0.7522,-0.9871
1968,7,2,1,3,22,-1.9889,-2.0491
1968,7,2,2,1,44,-1.5893,-1.7891
1968,7,2,2,2,103,1.4982,1.2837
1968,7,2,2,3,60,-5.2967,-5.3309
1968,7,2,3,1,26,-2.3173,-2.5292
1968,7,2,3,2,61,-1.9878,-2.0720
1968,7,2,3,3,74,-5.2726,-5.2919
1968,8,1,1,1,146,6.2193,5.8920
1968,8,1,1,2,68,2.7082,2.2642
1968,8,1,1,3,57,5.5532,5.1772
1968,8,1,2,1,85,2.5269,2.2057
1968,8,1,2,2,65,3.2137,2.8980
1968,8,1,2,3,49,4.7819,4.4933
1968,8,1,3,1,64,3.2905,3.0031
1968,8,1,3,2,64,2.7803,2.5682
1968,8,1,3,3,87,5.3701,5.2504
1968,8,2,1,1,31,4.5811,3.8562
1968,8,2,1,2,45,1.0122,0.3646
1968,8,2,1,3,22,0.8938,-0.0249
1968,8,2,2,1,41,2.4473,1.9649
1968,8,2,2,2,98,0.8644,0.3710
1968,8,2,2,3,66,0.4592,0.1348
1968,8,2,3,1,28,2.5798,2.3027
1968,8,2,3,2,66,2.9560,2.5842
1968,8,2,3,3,62,0.7650,0.4721
1968,9,1,1,1,144,7.6306,7.4351
1968,9,1,1,2,70,4.9437,4.7116
1968,9,1,1,3,58,5.5766,5.4361
1968,9,1,2,1,85,5.5045,5.3523
1968,9,1,2,2,64,5.9296,5.7767
1968,9,1,2,3,49,8.2459,8.1289
1968,9,1,3,1,70,10.9709,10.9150
1968,9,1,3,2,61,7.4238,7.3425
1968,9,1,3,3,84,6.5274,6.4220
1968,9,2,1,1,30,8.8211,8.6792
1968,9,2,1,2,46,6.3911,6.3118
1968,9,2,1,3,21,5.2340,5.2112
1968,9,2,2,1,40,6.2169,5.9860
1968,9,2,2,2,100,3.4723,3.2931
1968,9,2,2,3,65,2.3892,2.2530
1968,9,2,3,1,30,11.0410,10.9623
1968,9,2,3,2,61,4.7742,4.6967
1968,9,2,3,3,65,1.4525,1.4021
1968,10,1,1,1,142,-1.2100,-1.2915
1968,10,1,1,2,76,2.9691,2.7857
1968,10,1,1,3,57,0.3777,0.2953
1968,10,1,2,1,82,0.7550,0.6560
1968,10,1,2,2,67,1.6284,1.4017
1968,10,1,2,3,49,0.7710,0.5689
1968,10,1,3,1,70,-2.1523,-2.2036
1968,10,1,3,2,60,-0.2936,-0.4243
1968,10,1,3,3,84,0.9546,0.8664
1968,10,2,1,1,31,2.4796,2.3495
1968,10,2,1,2,45,2.0883,1.7799
1968,10,2,1,3,21,5.0572,4.8675
1968,10,2,2,1,40,0.7922,0.6816
1968,10,2,2,2,101,1.6803,1.4968
1968,10,2,2,3,64,0.6077,0.4851
1968,10,2,3,1,30,0.5877,0.3585
1968,10,2,3,2,58,0.0465,-0.0626
1968,10,2,3,3,68,-3.3360,-3.5439
1968,11,1,1,1,147,5.8854,5.4997
1968,11,1,1,2,67,8.0111,7.6901
1968,11,1,1,3,64,11.9329,11.7460
1968,11,1,2,1,83,7.8771,7.5288
1968,11,1,2,2,65,7.8183,7.5413
1968,11,1,2,3,54,7.6952,7.5333
1968,11,1,3,1,71,7.5083,7.3056
1968,11,1,3,2,53,9.0545,8.8589
1968,11,1,3,3,90,7.6196,7.5294
1968,11,2,1,1,30,6.9611,6.7802
1968,11,2,1,2,48,3.6334,3.0763
1968,11,2,1,3,19,-1.2864,-2.7318
1968,11,2,2,1,42,6.9232,6.5858
1968,11,2,2,2,109,5.8592,5.3561
1968,11,2,2,3,55,6.9518,6.6223
1968,11,2,3,1,21,6.9099,6.6351
1968,11,2,3,2,62,5.7180,5.4236
1968,11,2,3,3,76,6.7371,6.5765
1968,12,1,1,1,152,1.0407,0.8541
1968,12,1,1,2,66,-0.4578,-0.7312
1968,12,1,1,3,63,2.2191,1.9565
